train_loss,test_loss
0.0034972038379187374,0.0014198860699252691
0.00349701441545831,0.001389423928533991
0.003850962024170834,0.0013916462715618156
0.0033973543801812246,0.001381742931092352
0.0033243553257490443,0.00137483140436719
0.0034281726030902784,0.0013748190952658963
0.0032860662914295947,0.0013658873237242612
0.0033849306517454566,0.0013602829688655522
0.002905967943478149,0.001395854305277074
0.0027698849912584068,0.0014093248695038103
0.0029118761527543663,0.0013504399854961473
0.0024672170728301133,0.0013352745099837193
0.00235360562708546,0.001326998424701742
0.0025626228344486535,0.0013368136557498171
0.0024331023896060214,0.001310625836898301
0.0024696237207948992,0.0013086492217553314
0.002201167210165668,0.0012823911583836889
0.002151841339319274,0.0013138544472894864
0.0021203182834855293,0.0012898867401721266
0.0021089713087555635,0.0013251148411654867
0.0017540825892455678,0.0008985007021692582
0.0014983776351701272,0.0008017169427451639
0.0013305617134766329,0.0007283566907062778
0.0012326445721991327,0.0006903990986453815
0.0011695370261149197,0.0006632186268234364
0.00109984473954732,0.0006392971733324278
0.0010500460319640764,0.000610717490189927
0.0010216759762908835,0.0006020801622526051
0.0009905354910022348,0.000585483332952208
0.0009704757195052561,0.000572078566028722
0.0015909741524998083,0.0007225133106961342
0.0013350272768178789,0.0007147671396220782
0.00132737061699992,0.0007195424308671742
0.0012752476138807602,0.0007401044991487046
0.001255694796782961,0.0007061570489289201
0.002185508331255596,0.0011177904185994219
0.001932684468813069,0.0011101664737604249
0.0018815210164558889,0.001023196188422541
0.001840385666662689,0.0010257953199470649
0.001844004349513586,0.0010185467702588842
0.0018714272816626133,0.0010324128804010495
0.001732653327233313,0.0010130291169237655
0.0017007366211109645,0.0009838631631282624
0.0016413961726197317,0.0009862076749413973
0.00167570038010436,0.000963649512414122
0.001654300126324665,0.0009648362568744536
0.0018505641149973739,0.001050085174938431
0.0016650540749221794,0.000988051181290454
0.0016753994771037662,0.0010211691975806996
0.001685001091173435,0.000981639883320895
0.0016501600543544668,0.000970137500189594
0.00157482888443865,0.0009452537960896734
0.0015240722203808408,0.0009695945063867839
